freq,Coherence
141.0,0.999821
141.5,0.99982
142.0,0.999822
142.5,0.999828
143.0,0.999827
143.5,0.999859
144.0,0.999822
144.5,0.999834
145.0,0.999891
145.5,0.999842
146.0,0.999846
146.5,0.999884
147.0,0.999887
147.5,0.999895
148.0,0.999876
148.5,0.999863
149.0,0.999894
149.5,0.999894
150.0,0.999912
150.5,0.999905
151.0,0.999901
151.5,0.99988
152.0,0.99992
152.5,0.999906
153.0,0.999919
153.5,0.999906
154.0,0.99991
154.5,0.999896
155.0,0.999914
155.5,0.999936
156.0,0.999928
156.5,0.999934
157.0,0.999925
157.5,0.999897
158.0,0.999941
158.5,0.99994
159.0,0.99993
159.5,0.99993
160.0,0.999928
160.5,0.999895
161.0,0.999938
161.5,0.999938
162.0,0.999925
162.5,0.999933
163.0,0.999931
163.5,0.99994
164.0,0.9999
164.5,0.999913
165.0,0.999903
165.5,0.999916
166.0,0.999937
166.5,0.999924
167.0,0.999921
167.5,0.999933
168.0,0.999929
168.5,0.999926
169.0,0.999928
169.5,0.999897
170.0,0.999921
170.5,0.99992
171.0,0.999917
171.5,0.999923
172.0,0.999929
172.5,0.999929
173.0,0.999942
173.5,0.999945
174.0,0.99994
174.5,0.999932
175.0,0.999915
175.5,0.999894
176.0,0.999922
176.5,0.999929
177.0,0.999936
177.5,0.999933
178.0,0.999948
178.5,0.999944
179.0,0.999936
179.5,0.999941
180.0,0.99995
180.5,0.999938
181.0,0.999951
181.5,0.999957
182.0,0.999963
182.5,0.999955
183.0,0.999942
183.5,0.99995
184.0,0.999953
184.5,0.999966
185.0,0.999964
185.5,0.999962
186.0,0.99997
186.5,0.999952
187.0,0.999969
187.5,0.999972
188.0,0.999973
188.5,0.999972
189.0,0.999977
189.5,0.999974
190.0,0.999966
190.5,0.999972
191.0,0.999978
191.5,0.999978
192.0,0.999976
192.5,0.999979
193.0,0.999969
193.5,0.999981
194.0,0.999982
194.5,0.999975
195.0,0.99998
195.5,0.99997
196.0,0.999977
196.5,0.999983
197.0,0.999982
197.5,0.999976
198.0,0.999978
198.5,0.999977
199.0,0.999983
199.5,0.999972
200.0,0.999986
200.5,0.999982
201.0,0.999986
201.5,0.999978
202.0,0.99998
202.5,0.999982
203.0,0.99998
203.5,0.99998
204.0,0.999981
204.5,0.999983
205.0,0.999984
205.5,0.999983
206.0,0.99998
206.5,0.999982
207.0,0.999984
207.5,0.999986
208.0,0.999983
208.5,0.999983
209.0,0.99998
209.5,0.999981
210.0,0.999978
210.5,0.999985
211.0,0.999988
211.5,0.999986
212.0,0.999979
212.5,0.999982
213.0,0.999986
213.5,0.999983
214.0,0.99999
214.5,0.999986
215.0,0.999985
215.5,0.999986
216.0,0.999986
216.5,0.99998
