freq,velocity,force
303.5,3.80118e-05,-0.00286462
304.0,4.72994e-05,-0.00284585
304.5,4.28787e-05,-0.0028482
305.0,3.96038e-05,-0.00286813
305.5,4.43106e-05,-0.00286511
306.0,5.86935e-05,-0.00285728
306.5,7.68418e-05,-0.00286561
307.0,8.20777e-05,-0.00286967
307.5,7.05226e-05,-0.00286462
308.0,5.80182e-05,-0.00285825
308.5,5.28899e-05,-0.00287342
309.0,5.90884e-05,-0.00288373
309.5,4.16816e-05,-0.00287977
310.0,3.69946e-05,-0.00286747
310.5,3.75505e-05,-0.00288272
311.0,3.03231e-05,-0.00287598
311.5,5.48614e-05,-0.00284177
312.0,6.42304e-05,-0.00284214
312.5,7.99096e-05,-0.00285163
313.0,0.000102027,-0.00284005
313.5,9.32247e-05,-0.00283339
314.0,9.50441e-05,-0.00285825
314.5,0.000121359,-0.00287046
315.0,0.000130883,-0.00286352
315.5,0.000122909,-0.00287032
316.0,0.00014244,-0.00287686
316.5,0.000148378,-0.00285982
317.0,0.00013877,-0.00286024
317.5,0.000137017,-0.00289508
318.0,0.000155704,-0.00292216
318.5,0.000177261,-0.00292149
319.0,0.000192418,-0.00291094
319.5,0.000186446,-0.00290841
320.0,0.000181318,-0.00290722
320.5,0.000214468,-0.00293375
321.0,0.000186192,-0.00295155
321.5,0.000216533,-0.00295785
322.0,0.000217618,-0.00294544
322.5,0.000187009,-0.00291851
323.0,0.000183826,-0.00293894
323.5,0.000217166,-0.00296398
324.0,0.000225995,-0.00294586
324.5,0.000232094,-0.00295593
325.0,0.000239386,-0.00298334
325.5,0.000237743,-0.00297743
326.0,0.000259721,-0.00297727
326.5,0.000254929,-0.00298823
327.0,0.000247214,-0.00299791
327.5,0.000238148,-0.00299039
328.0,0.000252463,-0.00301514
328.5,0.000253782,-0.0030419
329.0,0.00024494,-0.00304654
329.5,0.000242776,-0.00305541
330.0,0.000247187,-0.00306298
330.5,0.000248908,-0.00307945
331.0,0.000258028,-0.0030868
331.5,0.000256441,-0.00310606
332.0,0.000245201,-0.0030959
332.5,0.000236293,-0.00310227
333.0,0.00024576,-0.00310017
333.5,0.000255832,-0.00310494
334.0,0.000252488,-0.00313149
334.5,0.000254555,-0.00313804
335.0,0.000252907,-0.00315066
335.5,0.000245929,-0.00316212
336.0,0.000252459,-0.00315168
336.5,0.000258049,-0.00315054
337.0,0.00026032,-0.00315919
337.5,0.000263861,-0.00316341
338.0,0.000248919,-0.00318605
