freq,Coherence
311.0,0.999155
311.5,0.998998
312.0,0.999214
312.5,0.999001
313.0,0.999079
313.5,0.998758
314.0,0.998593
314.5,0.99835
315.0,0.99914
315.5,0.999104
316.0,0.998934
316.5,0.998647
317.0,0.998782
317.5,0.999148
318.0,0.99825
318.5,0.998613
319.0,0.998958
319.5,0.999018
320.0,0.998656
320.5,0.998671
321.0,0.99916
321.5,0.998742
322.0,0.998562
322.5,0.998756
323.0,0.997924
323.5,0.998554
324.0,0.999165
324.5,0.998443
325.0,0.999028
325.5,0.998989
326.0,0.998997
326.5,0.999012
327.0,0.999335
327.5,0.999136
328.0,0.999045
328.5,0.999331
329.0,0.999323
329.5,0.999192
330.0,0.999061
330.5,0.998778
331.0,0.999115
331.5,0.999294
332.0,0.999181
332.5,0.999211
333.0,0.99921
333.5,0.999193
334.0,0.999299
334.5,0.999061
335.0,0.999383
335.5,0.999383
336.0,0.998914
336.5,0.998924
337.0,0.999345
337.5,0.999513
338.0,0.9994
338.5,0.999304
339.0,0.999527
339.5,0.999568
340.0,0.999283
340.5,0.999192
341.0,0.999201
341.5,0.999552
342.0,0.999639
342.5,0.999566
343.0,0.999438
343.5,0.999222
344.0,0.999322
344.5,0.999578
345.0,0.999552
345.5,0.999499
346.0,0.999568
346.5,0.999384
347.0,0.999395
347.5,0.999327
348.0,0.999425
348.5,0.999452
349.0,0.999489
349.5,0.999313
350.0,0.999255
350.5,0.999701
351.0,0.999712
351.5,0.999452
352.0,0.99942
352.5,0.999342
353.0,0.999347
353.5,0.999612
354.0,0.999431
354.5,0.999393
355.0,0.999566
355.5,0.999512
356.0,0.999446
356.5,0.999628
357.0,0.999603
357.5,0.999587
358.0,0.999616
358.5,0.999608
359.0,0.999499
359.5,0.999389
360.0,0.999735
360.5,0.999762
361.0,0.99966
361.5,0.999468
362.0,0.999475
362.5,0.999569
363.0,0.999782
363.5,0.99975
364.0,0.99959
364.5,0.999661
365.0,0.999628
365.5,0.999616
366.0,0.999686
366.5,0.999616
367.0,0.999699
367.5,0.999764
368.0,0.999689
368.5,0.999687
369.0,0.999727
369.5,0.999722
370.0,0.999694
370.5,0.999751
371.0,0.999668
371.5,0.999727
372.0,0.999735
372.5,0.999773
373.0,0.999736
373.5,0.999766
374.0,0.99979
374.5,0.99972
375.0,0.999801
375.5,0.999572
376.0,0.999625
